
狩猎者,1,宜昌,2,5,太棒了，感动与欢喜交织
神仙,1,韶关,2,5,很棒呐，不管是细节，特效，配音，画质各个方面上来说都很不错，剧情上虽然是要大改，但哪吒自己的责任自己担的那个精神依旧是有传承下来的，在我心里已经跟大圣归来一样的好看了。
【L&X】,1,杭州,1,3.5,挺好看的，超过期望，比大圣归来好看多了
缘来是妳168,1,南宁,3,4.5,挺幽默 特技效果不错 故事情节有点单调 不过挺感人的
囡囡,2,霍邱,1,5,超级好看，我竟然被哪吒的娘圈粉了😂 😂 😂 😂 
天空树啊,0,句容,1,5,超好看！！！
naive,1,南京,3,5,燃，感动，画面精彩
皮卡丘.573,1,东方,2,5,好看，奈斯，国漫崛起啊
权,0,贵阳,1,5,全程无尿点，剧情不拖沓，萌萌哒的小哪吒太可爱了，长大了的哪吒出场太少，太帅啦！期待下一部，一战封神！
茗,0,太原,1,5,结尾极度舒适，看起来很舒服。
aGB877132328,0,北京,3,5,好看好看好看！！！
孔哥,0,临海,1,5,电影不错  儿子从头笑到尾  而我哭了好几次
零落成泥碾作尘,0,崇左,1,5,"1.很有梗
2.打戏流畅
3.笑哭并重
4.值得看"
🐇,0,宁波,1,5,简直是意外之喜，国产动画片真的是越来越好。
Sco,0,上饶,3,5,好棒！！！推荐去看啊！！
烛火,1,凤台,1,5,太可以了 哪吒太帅了 剧情打斗都很流畅 很棒 爱了🉑 🉑 🉑 
秀秀-招事业合伙人,0,成都,2,5,太好看了……
黄莹,0,深圳,3,5,超好看，搞笑又感人，特效贼六，期待第二部
小六子,2,黄石,1,5,好看，挺好看的。儿子看完挺开心的
错惜,1,佛山,3,5,"正魔心中有数，是仙是魔，我自己说了才算！
呜呜呜吹爆哪吒，还有敖丙的温润如玉…
不傻，谁和你做朋友…………"
陈华遥,0,黄石,2,5,超级好看，比漫威的好看
风之子,1,普洱,1,5,一家人看挺好！
八月有乔木°,1,银川,1,5,"刚被大圣归来一只猴帅哭，又被哪咤这个熊孩子触动
期待中国版本的神话系列媲美漫威
如果有人问我能不能改变命运，我的答案是：我不知道
但是有一个人的答案不会变，那就是哪咤
去他的**命运，是仙是魔，由自己决定"
浅唱幸福,2,常州,1,5,好看，明天准备在看一遍
🌵,0,,1,4.5,哭了两回！！！！
谢闻星,0,东莞,2,5,超级好看，我没文化所以我只会说**，好看，妈耶，超级好看🙉 
Passer-by,1,上海,1,5,很有教育的一部动画，结局也很完美，支持国产
欧洲酋长,1,中山,4,5,现在看动画片都会被戳泪点了吗？情节不能说完美，但确实是部好片
Joker.,2,沈阳,3,5,国漫崛起！！！
